Date,DHI,DNI,GHI,Horizontal UVI<400nm,Solar Zenith,Cloud Type,Relative Humidity,Temperature,Precipitable Water,SOLAR
2018-06-01 00:00:00,0,0,0,0.0,122.08,0,61.6,13.3,1.2,0
2018-06-01 01:00:00,0,0,0,0.0,118.4,0,66.47,12.4,1.2,0
2018-06-01 02:00:00,0,0,0,0.0,111.9,0,70.17,11.7,1.2,0
2018-06-01 03:00:00,0,0,0,0.0,103.31,0,72.7,11.2,1.2,0
2018-06-01 04:00:00,0,0,0,0.0,93.26,0,70.29,11.7,1.2,0
2018-06-01 05:00:00,49,310,91,0.0,82.13,0,61.14,13.8,1.3,0
2018-06-01 06:00:00,82,613,286,14.5703,70.54,0,49.92,16.7,1.3,1643
2018-06-01 07:00:00,101,760,498,27.6895,58.5,0,40.36,19.6,1.4,5636
2018-06-01 08:00:00,114,842,696,40.7167,46.28,0,33.21,22.4,1.4,8487
2018-06-01 09:00:00,120,892,858,51.6737,34.15,0,28.01,24.9,1.5,9762
2018-06-01 10:00:00,122,924,974,59.6033,22.71,0,23.81,27.3,1.5,10384
2018-06-01 11:00:00,124,933,1028,63.3429,14.22,0,20.66,29.3,1.6,10648
2018-06-01 12:00:00,130,922,1020,62.8117,15.19,0,18.49,30.7,1.6,10657
2018-06-01 13:00:00,136,894,949,57.9595,24.52,0,17.33,31.4,1.6,10686
2018-06-01 14:00:00,130,863,827,49.619,36.15,0,16.8,31.5,1.5,10595
2018-06-01 15:00:00,119,810,658,38.2393,48.32,0,16.53,31.3,1.5,10187
2018-06-01 16:00:00,103,719,457,25.1172,60.52,0,18.05,29.4,1.5,9454
2018-06-01 17:00:00,80,554,247,12.3589,72.49,0,20.91,26.8,1.5,8021
2018-06-01 18:00:00,39,224,63,0.0,83.97,0,29.25,23.2,1.4,4664
2018-06-01 19:00:00,0,0,0,0.0,94.98,0,35.78,20.9,1.4,904
2018-06-01 20:00:00,0,0,0,0.0,104.8,0,36.62,20.2,1.4,14
2018-06-01 21:00:00,0,0,0,0.0,113.07,0,36.36,19.8,1.4,0
2018-06-01 22:00:00,0,0,0,0.0,119.13,0,37.16,19.3,1.4,0
2018-06-01 23:00:00,0,0,0,0.0,122.25,0,38.28,18.9,1.4,0
2018-06-02 00:00:00,0,0,0,0.0,121.95,0,39.95,18.4,1.4,0
2018-06-02 01:00:00,0,0,0,0.0,118.29,0,42.55,17.7,1.4,0
2018-06-02 02:00:00,0,0,0,0.0,111.81,0,45.86,17.0,1.4,0
2018-06-02 03:00:00,0,0,0,0.0,103.24,0,48.54,16.5,1.4,0
2018-06-02 04:00:00,0,0,0,0.0,93.21,0,47.97,17.0,1.3,0
2018-06-02 05:00:00,47,326,92,0.0,82.09,0,43.3,19.3,1.3,0
2018-06-02 06:00:00,82,612,286,14.5756,70.5,0,36.51,22.5,1.3,1612
2018-06-02 07:00:00,104,757,500,27.8052,58.47,0,29.56,25.8,1.2,5588
2018-06-02 08:00:00,119,836,697,40.7789,46.25,0,21.92,29.3,1.2,8512
2018-06-02 09:00:00,128,885,861,51.8581,34.11,0,16.89,32.2,1.2,9585
2018-06-02 10:00:00,131,913,974,59.607,22.65,0,13.82,34.6,1.3,10135
2018-06-02 11:00:00,137,922,1031,63.5319,14.11,0,12.32,36.1,1.3,10328
2018-06-02 12:00:00,137,921,1026,63.1865,15.06,0,11.51,37.1,1.3,10298
2018-06-02 13:00:00,132,908,959,58.5775,24.41,0,11.12,37.7,1.3,10188
2018-06-02 14:00:00,125,876,833,49.9878,36.06,0,10.86,37.9,1.3,9911
2018-06-02 15:00:00,115,823,663,38.5417,48.23,0,10.47,37.9,1.4,9513
2018-06-02 16:00:00,99,735,462,25.4058,60.43,0,11.49,36.1,1.4,8705
2018-06-02 17:00:00,76,578,251,12.5696,72.4,0,14.74,32.7,1.4,7184
2018-06-02 18:00:00,38,253,65,0.0,83.87,0,24.25,28.5,1.4,4158
2018-06-02 19:00:00,0,0,0,0.0,94.87,0,28.1,26.5,1.4,773
2018-06-02 20:00:00,0,0,0,0.0,104.68,0,27.42,26.2,1.3,0
2018-06-02 21:00:00,0,0,0,0.0,112.94,0,27.79,25.3,1.3,0
2018-06-02 22:00:00,0,0,0,0.0,118.99,0,29.87,23.9,1.3,0
2018-06-02 23:00:00,0,0,0,0.0,122.12,0,32.11,22.7,1.3,0
2018-06-03 00:00:00,0,0,0,0.0,121.83,0,33.18,22.0,1.4,0
2018-06-03 01:00:00,0,0,0,0.0,118.19,0,34.37,21.4,1.4,0
2018-06-03 02:00:00,0,0,0,0.0,111.73,0,35.77,20.8,1.5,0
2018-06-03 03:00:00,0,0,0,0.0,103.17,0,36.84,20.4,1.5,0
2018-06-03 04:00:00,0,0,0,0.0,93.15,0,35.79,20.9,1.5,0
2018-06-03 05:00:00,45,337,92,0.0,82.05,0,32.24,23.5,1.6,0
2018-06-03 06:00:00,78,619,285,14.5286,70.47,0,25.7,27.3,1.6,1536
2018-06-03 07:00:00,98,758,495,27.5317,58.44,0,20.98,30.7,1.6,5290
2018-06-03 08:00:00,112,837,691,40.4304,46.23,0,17.95,33.8,1.6,8190
2018-06-03 09:00:00,119,887,854,51.4384,34.09,0,15.22,36.5,1.6,9384
2018-06-03 10:00:00,124,919,972,59.4876,22.6,0,13.08,38.5,1.5,10019
2018-06-03 11:00:00,126,932,1030,63.4741,14.01,0,11.64,39.8,1.5,10217
2018-06-03 12:00:00,125,932,1025,63.1298,14.94,0,10.59,40.6,1.5,10495
2018-06-03 13:00:00,121,919,959,58.5841,24.31,0,9.8,41.0,1.5,10472
2018-06-03 14:00:00,115,890,835,50.1177,35.96,0,9.55,40.8,1.5,10350
2018-06-03 15:00:00,106,841,667,38.786,48.14,0,9.43,40.6,1.5,9933
2018-06-03 16:00:00,93,754,466,25.6395,60.34,0,10.2,38.9,1.5,9195
2018-06-03 17:00:00,73,600,255,12.7818,72.3,0,13.07,35.6,1.4,7718
2018-06-03 18:00:00,38,278,68,0.0,83.77,0,21.83,31.1,1.4,4477
2018-06-03 19:00:00,0,0,0,0.0,94.76,0,24.6,28.3,1.4,828
2018-06-03 20:00:00,0,0,0,0.0,104.56,0,25.7,27.0,1.3,0
2018-06-03 21:00:00,0,0,0,0.0,112.82,0,26.64,26.0,1.3,0
2018-06-03 22:00:00,0,0,0,0.0,118.87,0,27.15,25.3,1.3,0
2018-06-03 23:00:00,0,0,0,0.0,122.0,0,27.69,24.6,1.3,0
2018-06-04 00:00:00,0,0,0,0.0,121.72,0,27.91,24.0,1.3,0
2018-06-04 01:00:00,0,0,0,0.0,118.09,0,28.24,23.4,1.4,0
2018-06-04 02:00:00,0,0,0,0.0,111.65,0,28.77,22.8,1.4,0
2018-06-04 03:00:00,0,0,0,0.0,103.11,0,29.69,22.1,1.4,0
2018-06-04 04:00:00,0,0,0,0.0,93.11,0,29.34,22.2,1.4,0
2018-06-04 05:00:00,45,343,93,0.0,82.02,0,27.77,24.2,1.5,0
2018-06-04 06:00:00,78,621,286,14.5835,70.44,0,21.57,27.4,1.5,1680
2018-06-04 07:00:00,100,755,495,27.5347,58.42,0,17.92,30.4,1.6,5815
2018-06-04 08:00:00,114,833,690,40.3744,46.21,0,15.64,33.1,1.6,8579
2018-06-04 09:00:00,125,877,852,51.3207,34.06,0,14.02,35.4,1.6,9617
2018-06-04 10:00:00,135,900,966,59.1229,22.56,0,12.95,37.2,1.6,10158
2018-06-04 11:00:00,138,912,1023,63.0461,13.92,0,12.31,38.4,1.6,10333
2018-06-04 12:00:00,135,914,1019,62.765,14.82,0,11.81,39.2,1.6,10415
2018-06-04 13:00:00,129,905,954,58.2852,24.21,0,11.49,39.5,1.6,10489
2018-06-04 14:00:00,122,876,832,49.9464,35.87,0,11.49,39.3,1.6,10073
2018-06-04 15:00:00,112,825,663,38.5651,48.05,0,11.5,39.0,1.6,9089
2018-06-04 16:00:00,97,740,464,25.5431,60.25,0,12.35,37.3,1.6,8024
2018-06-04 17:00:00,75,586,254,12.7423,72.21,0,14.48,34.4,1.6,6667
2018-06-04 18:00:00,39,271,69,0.0,83.68,0,22.38,30.5,1.6,3656
2018-06-04 19:00:00,0,0,0,0.0,94.65,0,25.76,27.9,1.6,594
2018-06-04 20:00:00,0,0,0,0.0,104.45,0,26.73,26.4,1.5,0
2018-06-04 21:00:00,0,0,0,0.0,112.7,0,27.02,24.9,1.4,0
2018-06-04 22:00:00,0,0,0,0.0,118.75,0,27.65,23.5,1.4,0
2018-06-04 23:00:00,0,0,0,0.0,121.88,0,28.16,22.1,1.4,0
2018-06-05 00:00:00,0,0,0,0.0,121.62,0,28.75,20.7,1.4,0
2018-06-05 01:00:00,0,0,0,0.0,118.0,0,30.53,19.5,1.5,0
2018-06-05 02:00:00,0,0,0,0.0,111.58,0,32.98,18.6,1.5,0
2018-06-05 03:00:00,0,0,0,0.0,103.05,0,34.71,18.0,1.5,0
2018-06-05 04:00:00,0,0,0,0.0,93.07,0,33.87,18.3,1.5,0
2018-06-05 05:00:00,47,248,82,0.0,81.98,0,30.95,20.1,1.6,0
2018-06-05 06:00:00,83,594,282,14.3822,70.42,0,24.86,22.5,1.6,1566
2018-06-05 07:00:00,102,749,494,27.4805,58.41,0,22.14,25.0,1.6,5313
2018-06-05 08:00:00,115,832,691,40.4354,46.19,0,19.83,27.5,1.6,8111
2018-06-05 09:00:00,117,891,855,51.5032,34.04,0,17.35,30.0,1.6,9318
2018-06-05 10:00:00,113,931,973,59.5537,22.52,0,14.9,32.4,1.6,10072
2018-06-05 11:00:00,144,899,1017,62.6796,13.83,0,13.37,34.1,1.6,10468
2018-06-05 12:00:00,122,931,1023,63.0162,14.7,0,12.63,35.2,1.6,10525
2018-06-05 13:00:00,127,906,954,58.2917,24.11,0,12.21,35.8,1.6,10390
2018-06-05 14:00:00,119,880,833,50.0152,35.78,0,12.1,35.8,1.6,9926
2018-06-05 15:00:00,108,834,666,38.7513,47.96,0,12.09,35.6,1.5,9405
2018-06-05 16:00:00,93,754,468,25.7771,60.16,0,13.07,34.0,1.5,8609
2018-06-05 17:00:00,73,606,259,13.0041,72.12,0,15.16,31.4,1.4,7124
2018-06-05 18:00:00,38,295,71,0.0,83.58,0,23.03,27.6,1.4,4050
2018-06-05 19:00:00,0,0,0,0.0,94.55,0,27.58,24.8,1.4,811
2018-06-05 20:00:00,0,0,0,0.0,104.35,0,29.75,23.3,1.3,0
